Date,CSV Name,Density,Velocity,Biofouled,Re_c,Frontal Area,k_t,m_s,k_s,k_c,ECE %
10192018,101918pumpdata.csv,0,30,0,188.32,0,0.000165394,75.99453647,0.000165394,0,0
11152018,111518pumpdata.csv,1450,30,0,188.32,4.604,0.000231887,63.46070233,9.79E-05,0.000133946,0.048808882
12042018,120418pumpdata.csv,1450,30,1,188.32,4.604,0.000295847,64.96253037,0.000115703,0.000180144,0.065642982
1312019,013119pumpdata.csv,1450,30,1,188.32,4.604,0.000434645,63.0479642,0.000147918,0.000286727,0.10448111
3212019,032119pumpdata.csv,0,30,0,188.32,0,0.000202564,75.99453647,0.000202564,0,0
5062019,050619pumpdata.csv,278,30,0,188.32,0.883,0.000246632,70.60424698,0.000112734,0.000133897,0.254486397
6122019,061219pumpdata.csv,800,30,0,188.32,2.54,0.000245598,69.4061198,0.000110559,0.000135039,0.089187738
7012019,070119pumpdata.csv,800,30,1,188.32,2.54,0.000274087,63.91577258,0.000108555,0.000165532,0.10932763
7292019,072919pumpdata.csv,0,10,0,64.479,0,0.000212041,100.8885839,0.000212041,0,0
8022019,080219pumpdata.csv,0,20,0,126.4,0,0.000228699,50.39594056,0.000228699,0,0
9052019,090519pumpdata.csv,278,10,0,64.479,0.883,0.000288533,92.69667794,0.000162505,0.000126028,0.699574933
9182019,091819pumpdata.csv,278,30,1,188.32,0.883,0.000315544,72.23339207,0.000134167,0.000181377,0.344726925
9262019,092619pumpdata.csv,278,20,0,126.4,0.883,0.000222299,56.70983987,8.56E-05,0.000136717,0.387138545
10292019,102919pumpdata.csv,800,10,0,64.479,2.54,0.000223646,87.34487219,0.000132231,9.14E-05,0.17633629
1282020,012820pumpdata.csv,278,30,1,188.32,0.883,0.000287938,64.20568344,0.000112413,0.000175526,0.333605191
2112020,021120pumpdata.csv,800,20,0,126.4,2.54,0.000239732,54.35463485,8.54E-05,0.000154307,0.1518392
3032020,030320pumpdata.csv,1450,10,0,64.479,4.604,0.000238229,82.18805074,0.000128721,0.000109508,0.116544143
3132020,031320pumpdata.csv,1450,20,0,126.4,4.604,0.000232979,47.97146481,7.42E-05,0.000158755,0.08618808
