"","run_ID","Paper","n_0","Re_c","frontal_area_unit_volume","height","d_c","R_star","P","logY","logX1","logX2","logX3","logX4"
"1",1,"Wu_2011",0.0064,0.408425825,0.01,1,2,0.525,1.05,-5.05145728861651,1.42734284019466,-0.644357016390513,-3.91202300542815,0.048790164169432
"2",2,"Wu_2011",0.0033,0.81685165,0.01,1,2,0.525,1.05,-5.7138328105097,2.12049002075461,-0.644357016390513,-3.91202300542815,0.048790164169432
"3",3,"Wu_2011",0.0017,1.633703299,0.01,1,2,0.525,1.05,-6.37712702791997,2.81363720070245,-0.644357016390513,-3.91202300542815,0.048790164169432
"4",4,"Wu_2011",0.0014,2.042129124,0.01,1,2,0.525,1.05,-6.57128304236092,3.03678075213908,-0.644357016390513,-3.91202300542815,0.048790164169432
"5",5,"Wu_2011",0.00069,4.084258248,0.01,1,2,0.525,1.05,-7.27881896037297,3.72992793269903,-0.644357016390513,-3.91202300542815,0.048790164169432
"6",6,"Wu_2011",0.00035,8.168516495,0.01,1,2,0.525,1.05,-7.95757740348081,4.42307511313655,-0.644357016390513,-3.91202300542815,0.048790164169432
"7",7,"Wu_2011",0.00018,16.33703299,0.01,1,2,0.525,1.05,-8.62255370707406,5.11622229369649,-0.644357016390513,-3.91202300542815,0.048790164169432
"8",8,"Wu_2011",0.00014,20.42129124,0.01,1,2,0.525,1.05,-8.87386813535497,5.33936584513313,-0.644357016390513,-3.91202300542815,0.048790164169432
"9",9,"Wu_2011",7.3e-05,40.84258248,0.01,1,2,0.525,1.05,-9.52505111681588,6.03251302569307,-0.644357016390513,-3.91202300542815,0.048790164169432
"10",10,"Wu_2011",0.00082,4.084258248,0.01,1,2,0.05,1.05,-7.10620621770598,3.72992793269903,-2.99573227355399,-3.91202300542815,0.048790164169432
"11",11,"Wu_2011",0.0015,2.042129124,0.005,1,1,0.1,1.05,-6.50229017087397,3.36816417692508,-2.30258509299405,-5.29831736654804,0.048790164169432
"12",12,"Wu_2011",0.0011,2.042129124,0.005,1,1,1.05,1.05,-6.81244509917781,3.36816417692508,0.048790164169432,-5.29831736654804,0.048790164169432
"13",13,"Wu_2011",0.00074,4.084258248,0.01,1,2,1,1.05,-7.20886037176606,3.72992793269903,0,-3.91202300542815,0.048790164169432
"14",14,"Wu_2011",0.0012,2.042129124,0.005,1,1,2,1.05,-6.72543372218818,3.36816417692508,0.693147180559945,-5.29831736654804,0.048790164169432
"15",15,"Wu_2011",0.0011,4.084258248,0.01,1,2,5.25,1.05,-6.81244509917781,3.72992793269903,1.65822807660353,-3.91202300542815,0.048790164169432
"16",16,"Wu_2011",0.0021,2.042129124,0.005,1,1,10.5,1.05,-6.16581793425276,3.36816417692508,2.35137525716348,-5.29831736654804,0.048790164169432
